@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
530,'2024/02/29 01:14:38:953',8,343.532654,145.071198,353.513977,136.989273,333.608826,136.870331,367.476776,145.148193,321.453705,146.559158,386.779846,200.051712,306.349976,202.721817,400.80603,271.516785,292.525299,273.278198,409.128113,338.526825,292.90564,338.960236,378.567474,326.700287,318.658081,326.064056,366.479034,433.423737,331.587158,431.585236,0,0,0,0,1,0,0,0,0,?
531,'2024/02/29 01:14:38:982',8,343.548889,144.969467,353.555054,136.96077,333.686096,136.840836,367.47287,145.222916,321.471802,146.494156,386.707275,199.905731,306.309937,202.658905,400.777588,271.395905,292.574005,273.156342,409.255676,338.496765,292.902069,339.088806,378.534821,326.725739,318.788361,326.044403,366.646576,431.002502,331.709015,430.832642,0,0,0,0,1,0,0,0,0,?
532,'2024/02/29 01:14:39:018',8,343.61264,145.027939,353.649323,136.96109,333.968536,136.978912,367.490204,145.313477,321.603546,146.750397,386.728333,199.98848,306.388733,202.718262,400.783051,271.388611,292.646179,273.235931,409.295929,339.001862,292.952942,338.900574,378.681213,326.726776,318.72937,325.918091,366.553009,431.477539,331.624451,430.740112,0,0,0,0,1,0,0,0,0,?
533,'2024/02/29 01:14:39:040',8,343.640472,144.794144,353.795135,136.889709,334.112091,136.941254,367.792419,145.263184,321.604919,146.879562,386.751129,199.904816,306.553833,202.461777,400.738098,271.554169,292.587799,273.144806,409.400665,338.960266,292.920593,338.886261,378.520691,326.696228,318.742401,325.716064,366.577515,431.550964,331.618652,430.810364,0,0,0,0,1,0,0,0,0,?
534,'2024/02/29 01:14:39:081',8,343.740173,144.843979,353.640137,136.92572,334.472229,136.940399,367.579041,145.258194,321.651764,146.586853,386.869507,199.689789,306.536896,202.318726,400.800232,271.454987,292.667816,273.220459,409.42746,339.425415,293.132721,338.891724,378.629181,326.738098,318.723724,325.880493,366.182251,434.056854,331.413116,431.32193,0,0,0,0,1,0,0,0,0,?
535,'2024/02/29 01:14:39:110',8,343.639191,144.928665,353.625244,136.947906,334.399994,136.935654,367.790497,145.234512,321.629395,146.570572,386.836365,199.898071,306.499725,202.378464,400.848877,271.71991,292.718933,273.254944,409.525116,339.438385,293.12738,338.851868,378.669739,326.785706,318.762146,326.06369,366.29834,433.729492,331.572296,430.897217,0,0,0,0,1,0,0,0,0,?
536,'2024/02/29 01:14:39:150',8,343.624115,144.884659,353.812073,136.941833,334.575836,136.920578,367.865173,145.507904,321.642822,146.546509,386.864197,200.009247,306.617554,202.26889,400.892822,271.895416,292.725006,273.166718,409.487854,339.543427,293.030334,338.787811,378.61203,326.643127,318.676514,325.766418,366.819519,431.559723,331.17511,430.603546,0,0,0,0,1,0,0,0,0,?
537,'2024/02/29 01:14:39:173',8,343.992188,144.79837,353.923157,136.946381,334.917053,136.958282,367.819366,145.474213,321.618713,146.181107,387.119293,200.183838,306.524963,202.350189,400.913666,271.740692,292.760986,273.249084,409.369354,339.832947,293.186615,338.809845,378.65332,326.70697,318.690521,325.890625,366.661804,431.919281,331.084656,430.881012,0,0,0,0,1,0,0,0,0,?
538,'2024/02/29 01:14:39:214',8,343.965759,144.812653,353.863953,136.90567,334.910461,136.945557,367.881927,145.339905,321.749023,146.367981,387.007751,200.115387,306.633942,202.313171,400.943909,271.575867,292.746338,273.18161,409.410217,339.208466,293.005951,338.624207,378.73996,326.690613,318.801544,325.910522,366.640076,431.862152,331.057251,430.969421,0,0,0,0,1,0,0,0,0,?
539,'2024/02/29 01:14:39:237',8,344.321442,144.837677,353.955811,136.935226,335.174255,136.937088,367.911224,145.270706,321.633636,146.236069,387.074951,200.184967,306.884033,202.189407,401.017822,271.699768,292.757996,272.958405,409.539825,339.75592,293.213379,338.703827,378.695099,326.597443,318.732544,325.79657,366.79303,431.317902,331.20816,430.708954,0,0,0,0,1,0,0,0,0,?
